expiration,days,strike,bid,ask,mid,openInterest,volume,implied_vol,delta,gamma,theta,vega,rho
2025-01-17,30,189.0,21.59,21.69,21.64,2230,846,0.1825,0.9811,0.004003,-9.687095,2.6477,15.1562
2025-01-17,30,194.2,16.56,16.66,16.61,4910,988,0.1814,0.9426,0.01039,-14.23061,6.8316,14.9045
2025-01-17,30,199.5,11.86,11.96,11.91,2462,1317,0.1806,0.8584,0.020527,-21.020822,13.4389,13.8365
2025-01-17,30,204.8,7.78,7.88,7.83,2889,1630,0.1802,0.7171,0.03112,-27.602244,20.3212,11.7344
2025-01-17,30,210.0,4.6,4.7,4.65,3048,366,0.18,0.5339,0.03664,-30.204409,23.9055,8.8328
2025-01-17,30,215.3,2.41,2.51,2.46,2498,1098,0.1802,0.3473,0.03403,-27.002527,22.222,5.7919
2025-01-17,30,220.5,1.1,1.2,1.15,3329,519,0.1806,0.1958,0.025408,-19.782834,16.6344,3.2849
2025-01-17,30,225.8,0.43,0.53,0.48,4663,822,0.1814,0.0959,0.015583,-12.049131,10.2466,1.6162
2025-01-17,30,231.0,0.13,0.23,0.18,211,1600,0.1825,0.0413,0.008041,-6.225879,5.3194,0.6973
2025-02-21,65,189.0,22.85,22.95,22.9,2663,1234,0.1967,0.9162,0.008662,-13.552907,13.378,30.1846
2025-02-21,65,194.2,18.29,18.39,18.34,226,728,0.1956,0.8554,0.012987,-16.861487,19.9462,28.7242
2025-02-21,65,199.5,14.13,14.23,14.18,1383,1111,0.1948,0.771,0.017442,-20.034485,26.6807,26.3056
2025-02-21,65,204.8,10.51,10.61,10.56,4669,152,0.1943,0.6658,0.021056,-22.315332,32.1318,23.0182
2025-02-21,65,210.0,7.5,7.6,7.55,2686,852,0.1942,0.548,0.02296,-23.080752,35.0103,19.1482
2025-02-21,65,215.3,5.13,5.23,5.18,2956,1771,0.1943,0.4286,0.022756,-22.107032,34.7266,15.1052
2025-02-21,65,220.5,3.37,3.47,3.42,3035,50,0.1948,0.3184,0.020649,-19.645312,31.5875,11.3005
2025-02-21,65,225.8,2.12,2.22,2.17,1572,1336,0.1956,0.2252,0.017299,-16.277359,26.5686,8.0367
2025-02-21,65,231.0,1.28,1.38,1.33,4357,1727,0.1967,0.1523,0.013502,-12.663006,20.8537,5.457
2025-03-21,93,189.0,24.08,24.18,24.13,4434,1962,0.2053,0.8747,0.009305,-14.422875,21.4671,40.6532
2025-03-21,93,194.2,19.79,19.89,19.84,4747,550,0.2042,0.8139,0.012235,-16.754964,28.0757,38.4952
2025-03-21,93,199.5,15.89,15.99,15.94,310,1228,0.2034,0.7383,0.014978,-18.764545,34.2395,35.4445
2025-03-21,93,204.8,12.44,12.54,12.49,3541,1907,0.203,0.6508,0.017112,-20.114444,39.0289,31.6386
2025-03-21,93,210.0,9.5,9.6,9.55,1317,986,0.2028,0.5562,0.018304,-20.563726,41.7141,27.3288
2025-03-21,93,215.3,7.08,7.18,7.13,1779,526,0.203,0.4606,0.018401,-20.036247,41.9687,22.8312
2025-03-21,93,220.5,5.15,5.25,5.2,158,1778,0.2034,0.3698,0.017468,-18.63331,39.9323,18.4613
2025-03-21,93,225.8,3.66,3.76,3.71,4446,1095,0.2042,0.2882,0.01574,-16.59023,36.1202,14.4759
2025-03-21,93,231.0,2.55,2.65,2.6,4677,606,0.2053,0.2187,0.01354,-14.201337,31.2377,11.0393
