expiration,days,strike,bid,ask,mid,openInterest,volume,implied_vol,delta,gamma,theta,vega,rho
2025-01-17,30,189.0,0.02,0.12,0.07,2167,733,0.1825,-0.0179,0.004003,-2.793367,2.6477,-0.3143
2025-01-17,30,194.2,0.22,0.32,0.27,1836,195,0.1814,-0.0564,0.01039,-7.075459,6.8316,-0.9958
2025-01-17,30,199.5,0.75,0.85,0.8,4842,355,0.1806,-0.1407,0.020527,-13.604247,13.4389,-2.4935
2025-01-17,30,204.8,1.9,2.0,1.95,618,220,0.1802,-0.2819,0.03112,-19.924245,20.3212,-5.0254
2025-01-17,30,210.0,3.94,4.04,3.99,3510,1124,0.18,-0.4651,0.03664,-22.264987,23.9055,-8.3567
2025-01-17,30,215.3,6.98,7.08,7.03,4515,1462,0.1802,-0.6517,0.03403,-18.801682,22.222,-11.8273
2025-01-17,30,220.5,10.91,11.01,10.96,1751,141,0.1806,-0.8032,0.025408,-11.320565,16.6344,-14.7641
2025-01-17,30,225.8,15.46,15.56,15.51,1762,436,0.1814,-0.9031,0.015583,-3.325439,10.2466,-16.8625
2025-01-17,30,231.0,20.39,20.49,20.44,770,39,0.1825,-0.9578,0.008041,2.759237,5.3194,-18.2111
2025-02-21,65,189.0,0.62,0.72,0.67,4717,833,0.1967,-0.0817,0.008662,-6.701298,13.378,-3.1746
2025-02-21,65,194.2,1.26,1.36,1.31,4021,900,0.1956,-0.1425,0.012987,-9.749705,19.9462,-5.5616
2025-02-21,65,199.5,2.31,2.41,2.36,4462,517,0.1948,-0.2269,0.017442,-12.66253,26.6807,-8.9069
2025-02-21,65,204.8,3.9,4.0,3.95,1871,1586,0.1943,-0.3321,0.021056,-14.683204,32.1318,-13.1209
2025-02-21,65,210.0,6.09,6.19,6.14,2454,139,0.1942,-0.4499,0.02296,-15.188451,35.0103,-17.9175
2025-02-21,65,215.3,8.92,9.02,8.97,1967,1100,0.1943,-0.5693,0.022756,-13.954557,34.7266,-22.8872
2025-02-21,65,220.5,12.36,12.46,12.41,1953,1672,0.1948,-0.6794,0.020649,-11.232664,31.5875,-27.6186
2025-02-21,65,225.8,16.32,16.42,16.37,3180,459,0.1956,-0.7726,0.017299,-7.604538,26.5686,-31.809
2025-02-21,65,231.0,20.68,20.78,20.73,2362,1780,0.1967,-0.8456,0.013502,-3.730012,20.8537,-35.3153
2025-03-21,93,189.0,1.33,1.43,1.38,1426,1667,0.2053,-0.1223,0.009305,-7.604808,21.4671,-6.8934
2025-03-21,93,194.2,2.22,2.32,2.27,1209,461,0.2042,-0.183,0.012235,-9.677721,28.0757,-10.3721
2025-03-21,93,199.5,3.5,3.6,3.55,4161,1033,0.2034,-0.2586,0.014978,-11.428125,34.2395,-14.7436
2025-03-21,93,204.8,5.24,5.34,5.29,1452,1865,0.203,-0.3462,0.017112,-12.518847,39.0289,-19.8702
2025-03-21,93,210.0,7.49,7.59,7.54,1399,165,0.2028,-0.4407,0.018304,-12.708951,41.7141,-25.5007
2025-03-21,93,215.3,10.24,10.34,10.29,1588,1373,0.203,-0.5363,0.018401,-11.922295,41.9687,-31.319
2025-03-21,93,220.5,13.5,13.6,13.55,2927,1821,0.2034,-0.6272,0.017468,-10.260181,39.9323,-37.0097
2025-03-21,93,225.8,17.19,17.29,17.24,517,1996,0.2042,-0.7088,0.01574,-7.957924,36.1202,-42.3158
2025-03-21,93,231.0,21.26,21.36,21.31,1612,546,0.2053,-0.7783,0.01354,-5.309855,31.2377,-47.0731
