expiration,days,strike,bid,ask,mid,openInterest,volume,implied_vol,delta,gamma,theta,vega,rho
2025-01-17,30,427.5,48.9,49.0,48.95,4622,293,0.1825,0.9811,0.00177,-21.911287,5.9889,34.282
2025-01-17,30,439.4,37.51,37.61,37.56,3798,1034,0.1814,0.9426,0.004593,-32.188285,15.4525,33.7126
2025-01-17,30,451.2,26.89,26.99,26.94,2580,1486,0.1806,0.8584,0.009075,-47.547097,30.3974,31.2969
2025-01-17,30,463.1,17.67,17.77,17.72,2122,1940,0.1802,0.7171,0.013758,-62.433647,45.9647,26.542
2025-01-17,30,475.0,10.46,10.56,10.51,4785,1174,0.18,0.5339,0.016199,-68.319496,54.0719,19.979
2025-01-17,30,486.9,5.51,5.61,5.56,4511,647,0.1802,0.3473,0.015045,-61.077145,50.2641,13.1007
2025-01-17,30,498.8,2.56,2.66,2.61,4458,819,0.1806,0.1958,0.011233,-44.746886,37.6255,7.4301
2025-01-17,30,510.6,1.04,1.14,1.09,2639,757,0.1814,0.0959,0.006889,-27.253987,23.1768,3.6558
2025-01-17,30,522.5,0.36,0.46,0.41,2432,757,0.1825,0.0413,0.003555,-14.082344,12.032,1.5773
2025-02-21,65,427.5,51.74,51.84,51.79,4897,501,0.1967,0.9162,0.00383,-30.655384,30.2597,68.2747
2025-02-21,65,439.4,41.42,41.52,41.47,1337,1817,0.1956,0.8554,0.005742,-38.139078,45.1165,64.9714
2025-02-21,65,451.2,32.03,32.13,32.08,3449,1666,0.1948,0.771,0.007711,-45.316097,60.3492,59.5007
2025-02-21,65,463.1,23.84,23.94,23.89,961,341,0.1943,0.6658,0.009309,-50.475157,72.679,52.0651
2025-02-21,65,475.0,17.04,17.14,17.09,3107,21,0.1942,0.548,0.010151,-52.206463,79.1901,43.3114
2025-02-21,65,486.9,11.68,11.78,11.73,2013,507,0.1943,0.4286,0.010061,-50.004,78.5482,34.1666
2025-02-21,65,498.8,7.68,7.78,7.73,4285,1740,0.1948,0.3184,0.009129,-44.435824,71.4479,25.5606
2025-02-21,65,510.6,4.86,4.96,4.91,3890,1842,0.1956,0.2252,0.007648,-36.817836,60.0957,18.1782
2025-02-21,65,522.5,2.96,3.06,3.01,4934,975,0.1967,0.1523,0.005969,-28.642513,47.1691,12.3433
2025-03-21,93,427.5,54.53,54.63,54.58,1611,1506,0.2053,0.8747,0.004114,-32.623169,48.5566,91.9536
2025-03-21,93,439.4,44.82,44.92,44.87,2737,546,0.2042,0.8139,0.005409,-37.898133,63.5046,87.0726
2025-03-21,93,451.2,35.99,36.09,36.04,2091,1089,0.2034,0.7383,0.006622,-42.443615,77.4465,80.172
2025-03-21,93,463.1,28.21,28.31,28.26,1158,821,0.203,0.6508,0.007565,-45.496957,88.2797,71.5635
2025-03-21,93,475.0,21.56,21.66,21.61,2988,173,0.2028,0.5562,0.008092,-46.513189,94.3533,61.8152
2025-03-21,93,486.9,16.07,16.17,16.12,3414,1367,0.203,0.4606,0.008135,-45.320081,94.9292,51.642
2025-03-21,93,498.8,11.7,11.8,11.75,4034,1521,0.2034,0.3698,0.007723,-42.146772,90.3231,41.7576
2025-03-21,93,510.6,8.34,8.44,8.39,1588,1090,0.2042,0.2882,0.006959,-37.52552,81.7004,32.7431
2025-03-21,93,522.5,5.82,5.92,5.87,3104,1878,0.2053,0.2187,0.005986,-32.122073,70.6567,24.9699
