expiration,days,strike,bid,ask,mid,openInterest,volume,implied_vol,delta,gamma,theta,vega,rho
2025-01-17,30,427.5,0.11,0.21,0.16,444,178,0.1825,-0.0179,0.00177,-6.31833,5.9889,-0.7109
2025-01-17,30,439.4,0.56,0.66,0.61,3523,261,0.1814,-0.0564,0.004593,-16.004013,15.4525,-2.2524
2025-01-17,30,451.2,1.76,1.86,1.81,3719,1759,0.1806,-0.1407,0.009075,-30.771511,30.3974,-5.64
2025-01-17,30,463.1,4.36,4.46,4.41,4673,1237,0.1802,-0.2819,0.013758,-45.066746,45.9647,-11.367
2025-01-17,30,475.0,8.98,9.08,9.03,2617,1529,0.18,-0.4651,0.016199,-50.36128,54.0719,-18.902
2025-01-17,30,486.9,15.86,15.96,15.91,4171,1877,0.1802,-0.6517,0.015045,-42.527614,50.2641,-26.7523
2025-01-17,30,498.8,24.73,24.83,24.78,3652,1754,0.1806,-0.8032,0.011233,-25.606039,37.6255,-33.3949
2025-01-17,30,510.6,35.04,35.14,35.09,906,90,0.1814,-0.9031,0.006889,-7.521825,23.1768,-38.1413
2025-01-17,30,522.5,46.18,46.28,46.23,4890,394,0.1825,-0.9578,0.003555,6.241132,12.032,-41.1918
2025-02-21,65,427.5,1.47,1.57,1.52,2560,654,0.1967,-0.0817,0.00383,-15.157697,30.2597,-7.1806
2025-02-21,65,439.4,2.92,3.02,2.97,2566,1303,0.1956,-0.1425,0.005742,-22.052904,45.1165,-12.5799
2025-02-21,65,451.2,5.3,5.4,5.35,687,911,0.1948,-0.2269,0.007711,-28.641436,60.3492,-20.1465
2025-02-21,65,463.1,8.88,8.98,8.93,3197,1552,0.1943,-0.3321,0.009309,-33.212009,72.679,-29.6781
2025-02-21,65,475.0,13.84,13.94,13.89,2837,630,0.1942,-0.4499,0.010151,-34.35483,79.1901,-40.5278
2025-02-21,65,486.9,20.25,20.35,20.3,3183,781,0.1943,-0.5693,0.010061,-31.56388,78.5482,-51.7686
2025-02-21,65,498.8,28.02,28.12,28.07,4174,1480,0.1948,-0.6794,0.009129,-25.407217,71.4479,-62.4706
2025-02-21,65,510.6,36.97,37.07,37.02,1402,692,0.1956,-0.7726,0.007648,-17.200742,60.0957,-71.9489
2025-02-21,65,522.5,46.84,46.94,46.89,3012,1291,0.1967,-0.8456,0.005969,-8.436932,47.1691,-79.8798
2025-03-21,93,427.5,3.06,3.16,3.11,1446,549,0.2053,-0.1223,0.004114,-17.201352,48.5566,-15.5922
2025-03-21,93,439.4,5.08,5.18,5.13,672,548,0.2042,-0.183,0.005409,-21.890082,63.5046,-23.4606
2025-03-21,93,451.2,7.98,8.08,8.03,2505,806,0.2034,-0.2586,0.006622,-25.84933,77.4465,-33.3485
2025-03-21,93,463.1,11.92,12.02,11.97,4479,1460,0.203,-0.3462,0.007565,-28.316439,88.2797,-44.9445
2025-03-21,93,475.0,16.99,17.09,17.04,4400,1093,0.2028,-0.4407,0.008092,-28.746437,94.3533,-57.6801
2025-03-21,93,486.9,23.23,23.33,23.28,4004,1049,0.203,-0.5363,0.008135,-26.967096,94.9292,-70.8407
2025-03-21,93,498.8,30.59,30.69,30.64,3442,1239,0.2034,-0.6272,0.007723,-23.207552,90.3231,-83.7125
2025-03-21,93,510.6,38.95,39.05,39.0,3959,1014,0.2042,-0.7088,0.006959,-18.000066,81.7004,-95.7144
2025-03-21,93,522.5,48.16,48.26,48.21,3285,554,0.2053,-0.7783,0.005986,-12.010386,70.6567,-106.475
