expiration,days,strike,bid,ask,mid,openInterest,volume,implied_vol,delta,gamma,theta,vega,rho
2025-01-17,30,490.5,56.11,56.21,56.16,4421,1136,0.1825,0.9811,0.001542,-25.140318,6.8715,39.334
2025-01-17,30,504.1,43.05,43.15,43.1,1370,1761,0.1814,0.9426,0.004003,-36.931822,17.7297,38.6807
2025-01-17,30,517.8,30.86,30.96,30.91,3926,474,0.1806,0.8584,0.007909,-54.554038,34.877,35.9091
2025-01-17,30,531.4,20.28,20.38,20.33,4507,1333,0.1802,0.7171,0.011991,-71.634396,52.7384,30.4534
2025-01-17,30,545.0,12.01,12.11,12.06,2560,901,0.18,0.5339,0.014118,-78.387633,62.0403,22.9232
2025-01-17,30,558.6,6.33,6.43,6.38,2326,1507,0.1802,0.3473,0.013113,-70.077988,57.6715,15.0313
2025-01-17,30,572.2,2.94,3.04,2.99,2431,1459,0.1806,0.1958,0.00979,-51.341164,43.1703,8.5251
2025-01-17,30,585.9,1.2,1.3,1.25,952,202,0.1814,0.0959,0.006005,-31.270364,26.5923,4.1945
2025-01-17,30,599.5,0.42,0.52,0.47,4711,870,0.1825,0.0413,0.003099,-16.157637,13.8051,1.8098
2025-02-21,65,490.5,59.37,59.47,59.42,858,1901,0.1967,0.9162,0.003338,-35.17302,34.719,78.3362
2025-02-21,65,504.1,47.53,47.63,47.58,760,1568,0.1956,0.8554,0.005004,-43.759574,51.7652,74.5461
2025-02-21,65,517.8,36.76,36.86,36.81,501,777,0.1948,0.771,0.006721,-51.994259,69.2428,68.2693
2025-02-21,65,531.4,27.36,27.46,27.41,4722,1780,0.1943,0.6658,0.008113,-57.913601,83.3896,59.7378
2025-02-21,65,545.0,19.56,19.66,19.61,4056,1557,0.1942,0.548,0.008847,-59.900048,90.8602,49.6941
2025-02-21,65,558.6,13.41,13.51,13.46,4620,219,0.1943,0.4286,0.008768,-57.373011,90.1238,39.2016
2025-02-21,65,572.2,8.82,8.92,8.87,2601,1980,0.1948,0.3184,0.007957,-50.984261,81.977,29.3274
2025-02-21,65,585.9,5.58,5.68,5.63,4872,323,0.1956,0.2252,0.006666,-42.243622,68.9519,20.8571
2025-02-21,65,599.5,3.4,3.5,3.45,1613,1465,0.1967,0.1523,0.005203,-32.863515,54.1203,14.1623
2025-03-21,93,490.5,62.57,62.67,62.62,3580,271,0.2053,0.8747,0.003585,-37.430794,55.7123,105.5047
2025-03-21,93,504.1,51.43,51.53,51.48,2806,1583,0.2042,0.8139,0.004714,-43.483121,72.8632,99.9043
2025-03-21,93,517.8,41.31,41.41,41.36,1410,1451,0.2034,0.7383,0.005771,-48.698463,88.8597,91.9869
2025-03-21,93,531.4,32.37,32.47,32.42,1357,573,0.203,0.6508,0.006594,-52.201772,101.2893,82.1096
2025-03-21,93,545.0,24.74,24.84,24.79,1865,500,0.2028,0.5562,0.007053,-53.367765,108.258,70.9248
2025-03-21,93,558.6,18.45,18.55,18.5,3493,1084,0.203,0.4606,0.00709,-51.99883,108.9187,59.2524
2025-03-21,93,572.2,13.43,13.53,13.48,3326,1241,0.2034,0.3698,0.006731,-48.357875,103.6338,47.9114
2025-03-21,93,585.9,9.57,9.67,9.62,922,164,0.2042,0.2882,0.006065,-43.055596,93.7404,37.5684
2025-03-21,93,599.5,6.69,6.79,6.74,2208,1331,0.2053,0.2187,0.005217,-36.855852,81.0693,28.6497
