expiration,days,strike,bid,ask,mid,openInterest,volume,implied_vol,delta,gamma,theta,vega,rho
2025-01-17,30,490.5,0.14,0.24,0.19,4257,151,0.1825,-0.0179,0.001542,-7.249452,6.8715,-0.8157
2025-01-17,30,504.1,0.65,0.75,0.7,3747,460,0.1814,-0.0564,0.004003,-18.3625,17.7297,-2.5843
2025-01-17,30,517.8,2.02,2.12,2.07,2982,61,0.1806,-0.1407,0.007909,-35.306259,34.877,-6.4711
2025-01-17,30,531.4,5.01,5.11,5.06,4486,1893,0.1802,-0.2819,0.011991,-51.708161,52.7384,-13.0421
2025-01-17,30,545.0,10.31,10.41,10.36,2522,371,0.18,-0.4651,0.014118,-57.782942,62.0403,-21.6876
2025-01-17,30,558.6,18.2,18.3,18.25,3538,1420,0.1802,-0.6517,0.013113,-48.794841,57.6715,-30.6948
2025-01-17,30,572.2,28.38,28.48,28.43,1933,235,0.1806,-0.8032,0.00979,-29.379561,43.1703,-38.3162
2025-01-17,30,585.9,40.21,40.31,40.26,3314,1499,0.1814,-0.9031,0.006005,-8.630305,26.5923,-43.7621
2025-01-17,30,599.5,53.0,53.1,53.05,2350,1413,0.1825,-0.9578,0.003099,7.160878,13.8051,-47.2621
2025-02-21,65,490.5,1.69,1.79,1.74,4846,1955,0.1967,-0.0817,0.003338,-17.391463,34.719,-8.2388
2025-02-21,65,504.1,3.35,3.45,3.4,4318,636,0.1956,-0.1425,0.005004,-25.302806,51.7652,-14.4337
2025-02-21,65,517.8,6.08,6.18,6.13,1125,961,0.1948,-0.2269,0.006721,-32.86228,69.2428,-23.1154
2025-02-21,65,531.4,10.19,10.29,10.24,183,1318,0.1943,-0.3321,0.008113,-38.106411,83.3896,-34.0518
2025-02-21,65,545.0,15.89,15.99,15.94,4950,44,0.1942,-0.4499,0.008847,-39.417647,90.8602,-46.5003
2025-02-21,65,558.6,23.24,23.34,23.29,2786,739,0.1943,-0.5693,0.008768,-36.215399,90.1238,-59.3977
2025-02-21,65,572.2,32.16,32.26,32.21,3854,984,0.1948,-0.6794,0.007957,-29.151438,81.977,-71.6768
2025-02-21,65,585.9,42.42,42.52,42.47,2104,989,0.1956,-0.7726,0.006666,-19.735588,68.9519,-82.552
2025-02-21,65,599.5,53.75,53.85,53.8,2411,1457,0.1967,-0.8456,0.005203,-9.68027,54.1203,-91.6516
2025-03-21,93,490.5,3.52,3.62,3.57,3108,181,0.2053,-0.1223,0.003585,-19.736289,55.7123,-17.8899
2025-03-21,93,504.1,5.84,5.94,5.89,1752,689,0.2042,-0.183,0.004714,-25.115989,72.8632,-26.9179
2025-03-21,93,517.8,9.17,9.27,9.22,998,341,0.2034,-0.2586,0.005771,-29.658705,88.8597,-38.263
2025-03-21,93,531.4,13.68,13.78,13.73,1243,1542,0.203,-0.3462,0.006594,-32.489387,101.2893,-51.5679
2025-03-21,93,545.0,19.51,19.61,19.56,4398,1104,0.2028,-0.4407,0.007053,-32.982755,108.258,-66.1804
2025-03-21,93,558.6,26.66,26.76,26.71,1830,114,0.203,-0.5363,0.00709,-30.941194,108.9187,-81.2804
2025-03-21,93,572.2,35.1,35.2,35.15,1136,1966,0.2034,-0.6272,0.006731,-26.627613,103.6338,-96.0491
2025-03-21,93,585.9,44.69,44.79,44.74,3444,216,0.2042,-0.7088,0.006065,-20.652708,93.7404,-109.8196
2025-03-21,93,599.5,55.26,55.36,55.31,2664,1443,0.2053,-0.7783,0.005217,-13.780337,81.0693,-122.166
